"dyad","partner","id","phase","time","timephase","timephase.r","ibi.basec","b.ibi.basec"
666,"B","666.B","femalereceive",85,25,24,-21.3844107666666,99.6906612
666,"B","666.B","femalereceive",86,26,25,41.6822562333333,126.8194492
666,"B","666.B","femalereceive",87,27,26,40.2378112333333,30.8124562
666,"B","666.B","femalereceive",88,28,27,77.1405892333333,-8.15457679999997
666,"B","666.B","femalereceive",89,29,28,39.5711452333334,50.5239942000001
666,"B","666.B","femalereceive",90,30,29,-16.3177437666667,34.3509172
666,"B","666.B","malereceive",91,1,0,-185.762188766667,73.8893792
666,"B","666.B","malereceive",92,2,1,92.0155892333333,150.9103582
666,"B","666.B","malereceive",93,3,2,51.1405892333333,148.9103582
666,"B","666.B","malereceive",94,4,3,3.11558923333337,118.9103582
666,"B","666.B","malereceive",95,5,4,-20.8594107666667,143.5239942
666,"B","666.B","malereceive",96,6,5,-38.4844107666667,-8.95677479999995
666,"B","666.B","malereceive",97,7,6,24.3489222333334,139.9103582
666,"B","666.B","malereceive",98,8,7,-42.7344107666667,79.1073272000001
666,"B","666.B","malereceive",99,9,8,-47.2066327666666,172.8194492
666,"B","666.B","malereceive",100,10,9,-1.20663276666664,41.6586092000001
666,"B","666.B","malereceive",101,11,10,-66.3844107666666,41.6586092000001
666,"B","666.B","malereceive",102,12,11,-121.584410766667,59.1073272000001
666,"B","666.B","malereceive",103,13,12,46.1267002333334,67.7739942000001
666,"B","666.B","malereceive",104,14,13,-26.9844107666667,68.0432252000001
666,"B","666.B","malereceive",105,15,14,-30.0955217666667,111.9103582
666,"B","666.B","malereceive",106,16,15,121.301303233333,116.1073272
666,"B","666.B","malereceive",107,17,16,-34.4288547666666,100.5239942
666,"B","666.B","malereceive",108,18,17,-26.6510777666666,94.2739942000001
666,"B","666.B","malereceive",109,19,18,-9.76218876666667,117.5467212
666,"B","666.B","malereceive",110,20,19,-20.5399667666667,96.2739942000001
666,"B","666.B","malereceive",111,21,20,46.7933672333334,50.3509172
666,"B","666.B","malereceive",112,22,21,21.3489222333334,56.9406612
666,"B","666.B","malereceive",113,23,22,-34.3844107666666,44.1201482
666,"B","666.B","malereceive",114,24,23,12.8905892333333,9.58168620000004
666,"B","666.B","malereceive",115,25,24,44.9044782333333,-15.2974347999999
666,"B","666.B","malereceive",116,26,25,33.6822562333333,-43.4593388
666,"B","666.B","malereceive",117,27,26,4.12670023333339,-14.5831487999999
666,"B","666.B","malereceive",118,28,27,-77.0844107666667,-19.0831487999999
